ToncoinTON,€2.09,,1.72%,€7.2B,€34.4M,3.4B,Trade
ChainlinkLINK,€10.61,,1.31%,€5.9B,€769.1M,556.8M,Trade
PolygonMATIC,€0.63,,5.98%,€5.9B,€386.2M,9.2B,Trade
PolkadotDOT,€4.46,,7.19%,€5.6B,€249.3M,1.3B,Trade
Wrapped BitcoinWBTC,"€33,341.92",,1.94%,€5.5B,€257.1M,163.8K,Trade
DaiDAI,€0.94,,0.71%,€5.0B,€202.5M,5.3B,Trade
LitecoinLTC,€66.19,,2.33%,€4.9B,€404.6M,73.8M,Trade
Bitcoin CashBCH,€230.06,,0.65%,€4.5B,€226.2M,19.5M,Trade
SHIBA INUSHIB,€0.00000754,,3.17%,€4.4B,€169.5M,589.3T,Trade
AvalancheAVAX,€11.32,,7.24%,€4.0B,€416.2M,355.1M,Trade
UNUS SED LEOLEO,€3.65,,2.50%,€3.4B,€918.0K,928.7M,Trade
Stellar LumensXLM,€0.11,,0.54%,€3.2B,€132.8M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.70%,€3.1B,€479.8M,3.3B,Trade
MoneroXMR,€161.61,,0.74%,€3.0B,€119.3M,18.4M,
CosmosATOM,€7.49,,2.86%,€2.8B,€162.7M,372.6M,Trade
UniswapUNI,€4.45,,14.73%,€2.6B,€483.4M,588.2M,Trade
Aave UNI V2aUNIv2,€4.46,,13.98%,€2.6B,€483.9M,588.2M,Trade
OKBOKB,€42.94,,1.07%,€2.6B,€7.7M,60.0M,Trade
Ethereum ClassicETC,€16.69,,0.47%,€2.4B,€248.3M,143.8M,Trade
Binance USDBUSD,€0.94,,0.68%,€1.9B,€533.3M,2.0B,Trade
HederaHBAR,€0.0518,,6.49%,€1.7B,€104.9M,33.5B,Trade
Internet ComputerICP,€3.85,,5.32%,€1.7B,€32.2M,447.9M,Trade
FilecoinFIL,€3.71,,4.12%,€1.7B,€164.3M,463.3M,Trade
AptosAPT,€6.64,,0.16%,€1.6B,€192.8M,247.8M,Trade
Lido DAO TokenLDO,€1.73,,0.65%,€1.5B,€80.8M,890.2M,Trade
Crypto.com CoinCRO,€0.0601,,2.36%,€1.5B,€7.7M,25.3B,Trade
NEAR ProtocolNEAR,€1.38,,6.96%,€1.4B,€275.1M,990.2M,Trade
vechainVET,€0.0183,,3.83%,€1.3B,€38.2M,72.7B,Trade
AaveAAVE,€90.02,,15.65%,€1.3B,€394.9M,14.6M,Trade
MakerMKR,"€1,268.84",,3.06%,€1.2B,€95.1M,977.6K,Trade
Aave MKR V2aMKRv2,"€1,266.77",,2.63%,€1.2B,€95.2M,977.6K,Trade
InjectiveINJ,€14.56,,10.98%,€1.2B,€162.5M,83.8M,Trade
ArbitrumARB,€0.96,,5.64%,€1.2B,€441.7M,1.3B,Trade
OptimismOP,€1.34,,2.17%,€1.2B,€152.6M,880.4M,Trade
QuantQNT,€96.91,,0.32%,€1.2B,€25.3M,12.1M,Trade
MantleMNT,€0.38,,5.23%,€1.2B,€75.6M,3.1B,Trade
The GraphGRT,€0.11,,6.35%,€990.5M,€87.7M,9.3B,Trade
THORChainRUNE,€2.77,,1.78%,€937.2M,€169.8M,338.8M,
Bitcoin SVBSV,€46.16,,2.06%,€889.1M,€76.0M,19.3M,
RenderRNDR,€2.31,,5.86%,€860.7M,€92.3M,371.9M,Trade
StacksSTX,€0.60,,3.55%,€857.9M,€65.5M,1.4B,Trade
AlgorandALGO,€0.11,,4.67%,€853.8M,€53.5M,7.9B,Trade
MultiversXEGLD,€30.52,,5.52%,€797.8M,€40.4M,26.2M,Trade
ImmutableIMX,€0.65,,6.91%,€791.0M,€39.0M,1.2B,Trade
Axie InfinityAXS,€5.25,,5.90%,€744.7M,€88.1M,141.8M,Trade
The SandboxSAND,€0.35,,9.13%,€723.5M,€133.1M,2.1B,Trade
DecentralandMANA,€0.38,,12.32%,€718.6M,€153.5M,1.9B,Trade
TezosXTZ,€0.76,,5.77%,€719.2M,€27.6M,958.1M,Trade
Theta NetworkTHETA,€0.71,,0.88%,€714.1M,€36.0M,1.0B,Trade
EOSEOS,€0.62,,4.92%,€688.6M,€131.9M,1.1B,Trade
USDDUSDD,€0.94,,0.73%,€682.1M,€20.3M,725.3M,Trade
XDC NetworkXDC,€0.0485,,0.34%,€672.7M,€15.1M,13.9B,
FantomFTM,€0.24,,8.11%,€671.0M,€101.7M,2.8B,Trade
NeoNEO,€9.45,,6.20%,€666.7M,€97.0M,70.5M,
Bitget TokenBGB,€0.46,,1.08%,€643.6M,€17.5M,1.4B,Trade
Synthetix Network TokenSNX,€2.34,,11.31%,€637.1M,€60.8M,273.5M,Trade
Aave SNX V2aSNXv2,€2.33,,11.01%,€637.9M,€60.8M,273.5M,Trade
KavaKAVA,€0.65,,4.00%,€583.7M,€20.6M,895.5M,Trade
MinaMINA,€0.56,,3.47%,€557.2M,€53.9M,994.9M,Trade
First Digital USDFDUSD,€0.94,,0.74%,€555.1M,€2.3B,589.6M,Trade
FlowFLOW,€0.52,,5.84%,€535.4M,€56.0M,1.0B,Trade
eCashXEC,€0.000027,,4.02%,€532.2M,€17.3M,19.5T,
ConfluxCFX,€0.15,,0.29%,€519.3M,€77.3M,3.4B,
ChilizCHZ,€0.0669,,7.57%,€507.7M,€69.8M,7.6B,Trade
ApeCoinAPE,€1.27,,2.54%,€471.1M,€58.5M,368.6M,Trade
Gala V1GALA,€0.0183,,3.87%,€466.8M,€146.0M,25.5B,Trade
IOTAIOTA,€0.16,,5.31%,€465.6M,€14.1M,3.0B,
Tether GoldXAUt,"€1,876.42",,0.60%,€462.6M,€2.4M,246.5K,Trade
PepePEPE,€0.00000109,,1.56%,€451.9M,€156.6M,417.1T,Trade
PAX GoldPAXG,"€1,840.50",,0.52%,€450.5M,€8.9M,243.8K,Trade
Trust Wallet TokenTWT,€1.07,,6.46%,€445.3M,€32.2M,416.6M,
Frax ShareFXS,€5.90,,8.46%,€441.8M,€48.7M,74.9M,Trade
Rocket PoolRPL,€22.26,,1.13%,€440.0M,€4.3M,19.8M,Trade
ZcashZEC,€26.90,,2.62%,€439.9M,€53.4M,16.3M,Trade
Curve DAO TokenCRV,€0.49,,8.91%,€439.6M,€122.4M,896.7M,Trade
Aave CRV V2aCRVv2,€0.49,,9.08%,€438.5M,€122.5M,896.7M,Trade
SUISUI,€0.44,,6.62%,€426.8M,€138.7M,965.6M,Trade
KuCoin TokenKCS,€4.37,,0.51%,€423.1M,€1.3M,96.7M,Trade
Paxos StandardPAX,€0.94,,0.35%,€415.9M,€4.8M,443.8M,Trade
BitTorrent(New)BTT,€0.00000044,,1.26%,€416.1M,€19.4M,951.4T,Trade
KlaytnKLAY,€0.13,,3.65%,€415.9M,€16.7M,3.2B,
dYdXDYDX,€2.23,,4.04%,€409.5M,€125.3M,183.8M,Trade
GMXGMX,€43.81,,4.42%,€401.4M,€24.2M,9.2M,
CasperCSPR,€0.0340,,5.26%,€389.1M,€6.2M,11.4B,
WOO NetworkWOO,€0.22,,11.25%,€386.7M,€25.9M,1.8B,Trade
ArweaveAR,€5.86,,6.11%,€383.3M,€15.9M,65.5M,
Huobi TokenHT,€2.31,,0.01%,€375.1M,€7.2M,162.2M,Trade
Oasis NetworkROSE,€0.0563,,17.53%,€369.3M,€45.5M,6.5B,Trade
CompoundCOMP,€46.34,,10.12%,€366.0M,€85.5M,7.9M,Trade
TerraLUNA,€0.000061,,3.56%,€354.3M,€27.3M,5.8T,Trade
GateTokenGT,€3.67,,1.82%,€348.7M,€2.8M,94.9M,Trade
CelestiaTIA,€2.43,,13.65%,€342.1M,€373.1M,141.0M,Trade
NexoNEXO,€0.60,,0.10%,€336.7M,€2.7M,560.0M,Trade
PancakeSwapCAKE,€1.47,,27.85%,€335.2M,€112.9M,226.7M,Trade
APENFTNFT,€0.00000034,,1.96%,€332.3M,€15.8M,990.1T,Trade
QtumQTUM,€3.16,,8.24%,€331.4M,€83.9M,104.8M,
ZilliqaZIL,€0.0190,,2.32%,€329.6M,€33.7M,17.4B,
DashDASH,€27.94,,2.37%,€321.9M,€57.5M,11.5M,Trade
1inch1INCH,€0.30,,8.59%,€308.5M,€47.4M,1.0B,Trade
JUSTJST,€0.0347,,16.58%,€308.9M,€252.6M,8.9B,
Basic Attention TokenBAT,€0.20,,4.06%,€302.3M,€22.9M,1.5B,Trade
FLOKIFLOKI,€0.000031,,3.21%,€292.2M,€65.0M,9.5T,Trade
CeloCGLD,€0.56,,22.65%,€288.1M,€68.2M,518.4M,Trade
SafePalSFP,€0.67,,2.95%,€282.9M,€4.9M,420.8M,Trade
AstarASTR,€0.0525,,1.08%,€280.5M,€16.5M,5.3B,
Fetch.aiFET,€0.34,,4.52%,€280.4M,€97.2M,812.3M,Trade
NEMXEM,€0.0308,,4.56%,€276.5M,€9.1M,9.0B,
SingularityNETAGIX,€0.22,,4.97%,€273.6M,€56.2M,1.2B,Trade
FLAREFLR,€0.0102,,3.23%,€273.7M,€6.3M,27.0B,Trade
SushiSwapSUSHI,€1.16,,56.45%,€270.0M,€345.1M,231.7M,Trade
MX TOKENMX,€2.65,,0.25%,€266.3M,€2.9M,100.6M,Trade
GnosisGNO,€102.27,,0.99%,€264.8M,€5.8M,2.6M,Trade
Enjin CoinENJ,€0.26,,9.35%,€261.2M,€34.7M,1.0B,Trade
TellorTRB,€104.28,,1.24%,€260.7M,€48.4M,2.5M,Trade
LoopringLRC,€0.20,,4.63%,€260.0M,€19.7M,1.3B,Trade
Mask NetworkMASK,€3.16,,13.52%,€257.4M,€126.4M,82.1M,Trade
Bitcoin GoldBTG,€14.35,,5.12%,€250.2M,€38.1M,17.5M,
TerraLUNA,€0.43,,3.19%,€246.6M,€35.1M,567.2M,
Theta FuelTFUEL,€0.0386,,3.25%,€244.4M,€11.8M,6.3B,
HoloHOT,€0.0014,,8.15%,€242.8M,€19.2M,172.3B,Trade
BlurBLUR,€0.23,,2.93%,€236.2M,€73.1M,1.0B,Trade
Convex FinanceCVX,€2.87,,8.46%,€234.8M,€12.6M,81.7M,Trade
aelfELF,€0.34,,1.20%,€233.3M,€8.4M,682.8M,Trade
STEPNGMT,€0.18,,3.24%,€232.5M,€67.3M,1.3B,Trade
Ethereum Name ServiceENS,€7.55,,5.66%,€229.5M,€18.0M,30.1M,Trade
Aave ENS V2aENSv2,€7.63,,5.51%,€229.5M,€18.0M,30.1M,Trade
ChiaXCH,€25.63,,1.60%,€228.7M,€34.6M,8.9M,
AnkrANKR,€0.0226,,4.04%,€226.6M,€36.3M,10.0B,Trade
ThresholdT,€0.0238,,2.85%,€221.9M,€70.9M,9.3B,Trade
RavencoinRVN,€0.0168,,4.18%,€220.2M,€12.2M,13.1B,
0x ProtocolZRX,€0.25,,0.97%,€213.6M,€36.7M,847.5M,Trade
Ocean ProtocolOCEAN,€0.38,,8.24%,€213.3M,€35.5M,568.4M,Trade
Akash NetworkAKT,€0.96,,1.49%,€212.3M,€4.2M,220.8M,Trade
Golem (Old)GNT,€0.21,,3.29%,€210.5M,€7.2M,1.0B,Trade
GolemGLM,€0.21,,3.64%,€210.6M,€7.2M,1.0B,Trade
IoTeXIOTX,€0.0221,,6.54%,€209.0M,€10.5M,9.4B,Trade
ICONICX,€0.21,,3.23%,€205.5M,€7.9M,971.0M,
HeliumHNT,€1.42,,1.32%,€204.7M,€2.6M,143.9M,Trade
SiacoinSC,€0.0037,,5.47%,€202.9M,€18.3M,55.5B,
StatusSNT,€0.0519,,0.10%,€201.3M,€338.3M,3.9B,Trade
