Name,Price,Market cap,Volume (24),Suply
PAX GoldPAXG,"1,856.51",453.1M,6.8M,243.8K
Gala V1GALA,0.0176,447.7M,113.0M,25.4B
PepePEPE,0.00000107,444.7M,104.7M,417.1T
IOTAIOTA,0.15,440.9M,13.7M,3.0B
Rocket PoolRPL,22.02,436.1M,3.1M,19.8M
ZcashZEC,26.20,428.2M,51.8M,16.3M
KuCoin TokenKCS,4.35,420.5M,896.3K,96.7M
Trust Wallet TokenTWT,1.00,415.0M,15.2M,416.6M
Paxos StandardPAX,0.95,415.0M,2.1M,438.8M
BitTorrent(New)BTT,0.00000043,411.9M,32.9M,951.4T
Frax ShareFXS,5.44,407.4M,19.4M,74.9M
Curve DAO TokenCRV,0.45,402.9M,32.1M,898.8M
Aave CRV V2aCRVv2,0.45,402.6M,32.1M,898.8M
KlaytnKLAY,0.12,400.9M,13.6M,3.2B
KlaytnKLAY,0.12,403.0M,13.5M,3.2B
dYdXDYDX,2.17,399.0M,88.3M,183.8M
GMXGMX,42.46,388.9M,12.6M,9.2M
Huobi TokenHT,2.32,375.8M,5.2M,162.2M
CasperCSPR,0.0325,371.7M,3.8M,11.4B
ArweaveAR,5.60,366.3M,21.9M,65.5M
WOO NetworkWOO,0.20,356.8M,14.4M,1.8B
GateTokenGT,3.63,344.9M,1.4M,94.9M
TerraLUNA,0.000059,344.5M,20.3M,5.8T
NexoNEXO,0.61,340.4M,2.1M,560.0M
CompoundCOMP,42.65,337.8M,39.9M,7.9M
APENFTNFT,0.00000033,331.2M,23.0M,990.1T
ZilliqaZIL,0.0187,324.7M,38.1M,17.4B
Oasis NetworkROSE,0.0487,316.3M,13.4M,6.5B
QtumQTUM,3.02,316.0M,59.8M,104.8M
DashDASH,27.44,315.0M,46.2M,11.5M
CelestiaTIA,2.20,310.0M,424.8M,141.0M
JUSTJST,0.0344,307.3M,117.7M,8.9B
Basic Attention TokenBAT,0.20,293.5M,17.9M,1.5B
1inch1INCH,0.28,287.4M,20.4M,1.0B
FLOKIFLOKI,0.000030,287.0M,59.1M,9.5T
AstarASTR,0.0516,275.8M,17.7M,5.3B
SafePalSFP,0.65,274.3M,8.0M,420.8M
Fetch.aiFET,0.33,269.1M,69.1M,812.4M
MX TOKENMX,2.66,267.7M,3.0M,100.6M
NEMXEM,0.0297,267.6M,11.5M,9.0B
TellorTRB,106.47,264.8M,52.7M,2.5M
SingularityNETAGIX,0.21,264.3M,31.0M,1.2B
PancakeSwapCAKE,1.17,263.8M,13.0M,226.4M
GnosisGNO,101.36,262.2M,5.0M,2.6M
FLAREFLR,0.0096,259.5M,8.1M,27.0B
LoopringLRC,0.19,252.5M,16.3M,1.3B
Theta FuelTFUEL,0.0383,242.5M,25.6M,6.3B
Enjin CoinENJ,0.24,244.0M,23.4M,1.0B
TerraLUNA,0.42,239.6M,32.8M,566.4M
Bitcoin GoldBTG,13.61,238.2M,12.9M,17.5M
CeloCGLD,0.45,236.7M,12.6M,518.4M
BlurBLUR,0.22,232.5M,37.7M,1.0B
aelfELF,0.34,232.1M,6.3M,682.6M
ChiaXCH,25.50,227.2M,24.5M,8.9M
STEPNGMT,0.18,226.3M,46.1M,1.3B
HoloHOT,0.0013,225.3M,14.8M,172.3B
Mask NetworkMASK,2.73,224.5M,57.9M,82.1M
AnkrANKR,0.0224,225.1M,33.4M,10.0B
Convex FinanceCVX,2.67,216.7M,7.3M,81.5M
Ethereum Name ServiceENS,7.12,216.4M,12.8M,30.1M
Aave ENS V2aENSv2,7.20,216.4M,12.8M,30.1M
ThresholdT,0.0230,214.8M,120.6M,9.3B
0x ProtocolZRX,0.25,214.1M,65.3M,847.5M
Akash NetworkAKT,0.96,212.6M,3.3M,220.8M
RavencoinRVN,0.0161,212.0M,11.2M,13.1B
Golem (Old)GNT,0.21,205.3M,5.9M,1.0B
GolemGLM,0.20,205.2M,5.9M,1.0B
HeliumHNT,1.41,202.9M,1.5M,143.9M
WorldcoinWLD,1.82,202.5M,107.9M,111.2M
StatusSNT,0.0526,203.7M,626.0M,3.9B
ICONICX,0.21,200.6M,10.9M,970.9M
Ocean ProtocolOCEAN,0.35,200.5M,33.2M,568.4M
IoTeXIOTX,0.0209,197.3M,10.9M,9.4B
WAXWAXP,0.0572,193.0M,53.1M,3.4B
